Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,total_vaccinations_per_hundred,gdp_per_capita,aged_70_older,life_expectancy,new_cases_smoothed_per_million,new_deaths_smoothed_per_million
0.0,0.8800000000000003,0.0,0.0,0.0,0.0,0.0,7.89,91.23,0.0,4.340588235294118,1.035,42975.753,15.963,83.715,295.4395,3.436
0.0,8.44,0.65,0.0,0.0,0.0,0.0,24.03,66.88,0.0,0.0,2.745,60736.878500000006,7.8355,83.325,5.9959999999999996,0.032
1.6,12.0,0.0,0.0,5.6,0.0,0.0,52.0,28.8,0.0,0.0,29.275,49437.078,9.930499999999999,81.15,97.491,1.1975
0.0,14.14,1.01,0.0,7.07,0.0,0.0,66.67,11.11,0.0,0.0,73.87,54225.446,9.732,78.86,176.0125,2.152
0.0,6.52,0.0,0.0,9.78,0.0,0.0,80.43,3.27,0.0,0.0,57.635000000000005,35973.781,7.452,76.29,12.3995,0.063
1.38,3.45,6.21,0.0,6.21,0.0,9.66,66.21,6.88,0.0,0.0,54.27,35973.781,7.452,76.29,12.253,0.0505
0.0,0.71,10.0,0.0,19.29,0.0,1.43,61.43,5.72,0.71,0.0,72.51,35973.781,7.452,76.29,10.6115,0.07
0.0,0.0,11.88,0.0,16.83,0.0,9.9,53.47,1.98,0.0,0.0,84.9,35973.781,7.452,76.29,18.128,0.035
0.0,0.0,23.36,0.0,8.41,0.0,0.0,48.6,2.81,0.0,0.0,106.49,35973.781,7.452,76.29,8.352,0.12
0.0,0.0,39.33,0.0,13.48,0.0,4.49,5.62,0.0,1.12,0.0,113.69,35973.781,7.452,76.29,8.352,0.12
0.0,0.0,2.06,0.0,0.0,0.0,86.6,1.03,0.0,0.0,0.0,126.86,35973.781,7.452,76.29,40.184,0.14750000000000002
0.0,0.0,0.0,0.0,0.0,0.0,98.24,0.0,0.0,0.0,0.0,130.5,35973.781,7.452,76.29,36.01,0.21600000000000003
0.0,0.0,0.19,0.0,0.0,0.0,98.67,0.0,0.0,0.0,0.0,136.44,35973.781,7.452,76.29,36.01,0.21600000000000003
0.0,0.0,0.0,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,139.55,35973.781,7.452,76.29,36.01,0.21600000000000003
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,144.32,35973.781,7.452,76.29,36.01,0.21600000000000003
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,146.05,35973.781,7.452,76.29,36.01,0.21600000000000003
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,147.6,35973.781,7.452,76.29,36.01,0.21600000000000003
75.27,0.0,0.0,0.0,0.0,1.08,0.0,0.0,23.65,0.0,0.0,0.595,5819.495,1.362,61.15,1.722,0.076
3.85,0.0,0.0,0.0,0.0,0.0,0.0,5.77,90.38,0.0,0.0,0.595,5819.495,1.362,61.15,2.315,0.093
28.57,0.0,0.0,0.0,0.0,0.0,0.0,9.52,61.91,0.0,0.0,0.595,5819.495,1.362,61.15,1.191,0.038
41.03,0.0,0.0,0.0,0.0,0.0,0.0,2.56,56.41,0.0,0.0,0.595,5819.495,1.362,61.15,0.703,0.025
61.06,0.0,0.0,0.0,0.0,0.0,0.0,6.19,32.75,0.0,0.0,0.02,5819.495,1.362,61.15,1.069,0.029
71.9,0.0,0.0,0.83,0.0,0.83,0.0,9.92,16.52,0.0,0.0,0.595,5819.495,1.362,61.15,1.473,0.038
